timestamp,downlink_rolled_mbps_3,uplink_rolled_mbps_3,downlink_rolled_mbps_4,uplink_rolled_mbps_4,downlink_rolled_mbps_2,uplink_rolled_mbps_2,sw_power_baseline,avg_power_baseline,nr_ssRsrp_avg,rsrp,nr_ssRsrp,nr_ssSinr,rsrp_avg,nrStatus,nr_ssSinr_avg,provider,direction,radio_type_used,sw_power_rolled,avg_power_rolled,avg_power,sw_power,downlink_mbps,uplink_mbps,Throughput
1/25/21 19:58,81.49869867,0.16848,68.412504,0.154336,98.65728,0.193024,2312.052259,2997.126741,-94.7,-92,-92,-4,-94.7,CONNECTED,-4.9,TMobile,downlink,NSA+LTE,4669.3248,5354.399282,5353.867473,4784.768,104.081472,0.208416,98.2
1/25/21 19:58,100.3642133,0.210154667,87.068544,0.187464,103.929776,0.226416,2275.340579,2742.779257,-92,-92,-92,-4,-92,CONNECTED,-4,TMobile,downlink,NSA+LTE,4632.61312,5100.051798,5099.9648,4384.2432,103.77808,0.244416,87.1
1/25/21 19:58,47.41018667,0.169077333,61.50216,0.187912,29.412288,0.143584,2160.231459,1881.384341,-92.9,-92,-92,1,-92.9,CONNECTED,0.1,TMobile,downlink,NSA+LTE,4517.504,4238.656882,4238.9803,4472.5888,43.590528,0.17856,43.6
1/25/21 19:58,31.72427733,0.127008,44.644704,0.150272,39.969392,0.136208,2143.543957,2273.113399,-92,-92,-92,1,-92,CONNECTED,1,TMobile,downlink,NSA+LTE,4500.816498,4630.38594,4629.9811,4333.553778,36.348256,0.093856,45.1
1/25/21 19:58,93.930432,0.252693333,92.197296,0.257536,96.209792,0.257344,2163.275299,2935.821193,-92,-92,-92,2,-92,CONNECTED,2,TMobile,downlink,NSA+LTE,4520.54784,5293.093734,5292.8269,4559.8208,89.157056,0.244192,77.6
1/24/21 18:07,0.241722667,23.17512267,0.325812,27.271262,0.277512,25.650364,2614.883271,1915.345305,-92,-92,-92,24,-92,NOT_RESTRICTED,24,TMobile,uplink,NSA+LTE,5070.94191,4371.403944,4373.9112,4615.6509,0.350544,34.250168,26.2
1/23/21 12:18,131.851264,0.479509333,123.622272,0.464984,132.202496,0.453232,2290.009288,2620.66968,-92,-92,-92,-3,-92,CONNECTED,-3,TMobile,downlink,NSA+LTE,4673.979,5004.639392,5004.62994,4594.797,125.269984,0.3848,111
1/24/21 18:27,0,0.01536,0,0.011688,4.00E-12,0.02304,112.647013,407.108269,-92,-92,-92,0,-92,CONNECTED,-0.8,TMobile,uplink,NSA+LTE,2547.94836,2842.409616,2842.71614,2455.2828,0,0.03456,0
1/24/21 18:32,0.315808,25.071584,0.379856,28.998888,0.264048,19.520976,2165.218933,2234.610777,-92,-92,-92,24,-92,NOT_RESTRICTED,24,TMobile,uplink,NSA+LTE,4600.52028,4669.912124,4668.67956,4547.1807,0.525184,33.77664,6.7
1/24/21 18:32,0.398944,25.187008,0.40404,27.933456,0.59696,35.147856,2147.352763,2154.673137,-92,-92,-92,24,-92,CONNECTED,24,TMobile,uplink,NSA+LTE,4582.65411,4589.974484,4590.64596,4327.83,0.668736,36.519072,27.3
